iter,Loss,L1,mask,SSIM,LPIPS
18,"tensor([0.0843], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0551, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0783, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.7687, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.2235], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
19,"tensor([0.0743], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0445, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0616, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8084, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1908], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
20,"tensor([0.0735], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0413, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0644, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8201, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1798], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
21,"tensor([0.0778], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0483, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0763, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.7811, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.2128], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
22,"tensor([0.0765], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0473, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0751, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.7839, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.2152], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
23,"tensor([0.0737], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0415, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0806, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8108, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.2066], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
24,"tensor([0.0713], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0392, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0758, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8141, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1821], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
25,"tensor([0.0661], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0318, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0730, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8432, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1655], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
26,"tensor([0.0654], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0314, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0771, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8438, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1721], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
27,"tensor([0.0648], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0337, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0750, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8406, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1655], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
28,"tensor([0.0645], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0307, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0825, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8407, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1677], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
29,"tensor([0.0652], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0348, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0829, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8160, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1821], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
30,"tensor([0.0648], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0315, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0909, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8334, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1760], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
31,"tensor([0.0690], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0366, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0970, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8114, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.2022], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
32,"tensor([0.0684], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0368, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1126, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8018, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.2307], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
33,"tensor([0.0648], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0326, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0901, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8323, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1921], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
