iter,Loss,L1,mask,SSIM,LPIPS
732,"tensor([0.0287], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0110, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0140, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9376, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0822], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
733,"tensor([0.0306], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0120, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0148, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9307, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0754], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
734,"tensor([0.0334], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0131, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0182, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9154, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0990], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
735,"tensor([0.0298], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0122, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0197, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9289, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0818], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
736,"tensor([0.0293], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0124, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0144, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9243, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0934], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
737,"tensor([0.0313], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0101, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0182, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9377, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0769], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
738,"tensor([0.0305], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0124, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0156, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9296, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0804], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
739,"tensor([0.0303], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0114, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0190, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9265, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0867], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
740,"tensor([0.0356], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0144, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0154, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9218, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0784], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
741,"tensor([0.0259], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0094, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0128, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9458, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0763], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
742,"tensor([0.0259], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0086, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0139, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9484, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0712], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
743,"tensor([0.0318], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0127, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0133, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9274, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0768], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
744,"tensor([0.0285], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0091, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0115, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9443, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0695], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
745,"tensor([0.0285], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0075, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0099, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9603, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0529], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
746,"tensor([0.0287], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0089, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0132, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9470, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0613], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
747,"tensor([0.0312], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0127, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0144, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9334, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0729], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
748,"tensor([0.0279], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0082, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0113, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9543, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0555], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
749,"tensor([0.0350], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0102, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0151, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9372, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0694], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
750,"tensor([0.0331], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0092, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0134, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9487, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0561], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
751,"tensor([0.0328], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0106, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0165, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9364, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0674], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
752,"tensor([0.0294], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0135, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0173, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9241, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0779], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
753,"tensor([0.0293], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0094, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0120, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9479, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0570], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
754,"tensor([0.0352], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0150, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0142, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9200, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0763], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
755,"tensor([0.0272], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0076, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0088, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9607, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0516], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
756,"tensor([0.0348], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0106, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0121, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9427, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0606], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
757,"tensor([0.0326], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0121, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0161, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9226, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0831], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
758,"tensor([0.0316], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0113, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0129, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9349, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0769], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
759,"tensor([0.0291], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0138, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0161, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9158, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0833], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
760,"tensor([0.0324], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0126, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0159, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9321, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0899], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
761,"tensor([0.0312], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0136, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0153, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9250, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0920], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
762,"tensor([0.0265], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0090, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0165, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9438, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0660], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
763,"tensor([0.0312], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0129, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0144, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9289, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0804], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
764,"tensor([0.0301], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0117, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0121, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9337, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0645], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
765,"tensor([0.0322], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0137, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0119, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9248, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0752], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
766,"tensor([0.0294], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0108, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0145, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9385, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0704], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
767,"tensor([0.0303], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0103, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0137, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9396, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0780], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
768,"tensor([0.0333], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0095, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9503, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0520], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
769,"tensor([0.0328], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0140, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0139, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9174, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0752], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
770,"tensor([0.0283], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0138, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0145, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9145, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0955], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
771,"tensor([0.0305], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0099, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0117, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9404, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0682], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
772,"tensor([0.0328], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0104, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0128, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9395, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0628], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
773,"tensor([0.0319], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0120, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0125, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9295, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0659], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
774,"tensor([0.0281], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0102, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0142, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9399, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0692], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
775,"tensor([0.0320], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0104, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0115, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9433, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0613], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
776,"tensor([0.0320], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0123, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0166, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9253, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0817], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
777,"tensor([0.0275], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0099, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0112, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9409, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0723], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
778,"tensor([0.0305], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0151, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0158, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9128, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0808], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
779,"tensor([0.0331], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0111, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0110, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9400, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0600], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
780,"tensor([0.0341], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0126, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0122, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9297, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0676], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
781,"tensor([0.0298], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0108, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0117, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9447, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0681], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
782,"tensor([0.0330], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0093, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0118, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9422, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0629], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
783,"tensor([0.0309], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0122, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0114, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9280, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0672], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
784,"tensor([0.0291], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0103, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0146, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9375, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0768], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
785,"tensor([0.0302], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0122, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0151, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9333, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0756], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
786,"tensor([0.0290], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0102, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0127, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9388, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0684], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
787,"tensor([0.0275], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0076, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0079, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9605, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0498], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
788,"tensor([0.0300], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0128, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0154, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9308, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0713], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
789,"tensor([0.0289], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0111, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0135, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9405, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0693], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
790,"tensor([0.0331], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0093, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0097, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9468, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0585], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
791,"tensor([0.0305], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0102, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0122, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9434, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0664], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
792,"tensor([0.0294], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0118, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0120, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9335, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0666], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
793,"tensor([0.0328], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0112, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0140, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9355, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0586], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
794,"tensor([0.0282], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0121, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0162, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9309, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0725], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
795,"tensor([0.0286], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0105, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0126, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9395, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0695], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
796,"tensor([0.0262], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0103, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0159, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9380, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0756], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
797,"tensor([0.0293], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0103, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0125, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9405, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0665], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
798,"tensor([0.0295], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0109, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0128, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9362, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0592], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
799,"tensor([0.0321], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0135, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0118, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9312, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0701], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
800,"tensor([0.0317], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0086, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0115, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9546, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0480], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
801,"tensor([0.0332], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0128, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0186, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9174, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1073], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
802,"tensor([0.0321], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0110, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0188, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9295, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1015], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
803,"tensor([0.0327], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0144, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0179, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9152, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1116], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
804,"tensor([0.0310], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0136, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0197, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9173, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1073], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
805,"tensor([0.0353], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0142, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0221, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9043, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1133], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
806,"tensor([0.0369], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0129, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0137, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9259, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0871], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
807,"tensor([0.0323], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0135, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0176, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9219, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0919], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
808,"tensor([0.0308], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0107, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0131, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9338, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0807], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
809,"tensor([0.0322], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0139, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0141, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9163, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0884], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
